provider,integration_id,db_provider,record_type,status,token_present,token_decrypt_ok,asset_count,asset_ids,asset_names,endpoint_type,metric_name,measurable_key,display_name_en,display_name_es,category,catalog_status,status_code,availability_status,error_code,error_message,reason,missing,raw_available,sample_value,required_permissions,source_type,has_total,has_daily_series,total_key,daily_key,recommended_slide,is_primary,notes
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_impressions,page_impressions,Page Impressions,Impresiones de página,visibility,invalid_metric,,invalid_metric,,,Do not map this automatically. Meta rejects this metric in the current endpoint.,[],,,"[""read_insights""]",insights_metric,False,False,,,,False,Do not map this automatically. Meta rejects this metric in the current endpoint.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_impressions_unique,page_reach_unique,Unique Reach,Alcance único,visibility,invalid_metric,,invalid_metric,,,Do not invent reach when Meta does not return a real reach metric.,[],,,"[""read_insights""]",insights_metric,False,False,,,,False,Do not invent reach when Meta does not return a real reach metric.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_posts_impressions,post_impressions,Post Impressions,Impresiones de publicaciones,visibility,invalid_metric,,invalid_metric,,,Unsupported in the current product-ready endpoint. Never alias to reach.,[],,,"[""read_insights""]",insights_metric,False,False,,,,False,Unsupported in the current product-ready endpoint. Never alias to reach.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_posts_impressions_unique,post_reach_unique,Unique Post Reach,Alcance único de publicaciones,visibility,invalid_metric,,invalid_metric,,,Unsupported in the current endpoint. Never backfill from impressions or views.,[],,,"[""read_insights""]",insights_metric,False,False,,,,False,Unsupported in the current endpoint. Never backfill from impressions or views.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,page_fans,page_fans_legacy,Page Fans (Legacy),Fans de página (legado),audience,invalid_metric,,invalid_metric,,,Use fan_count field instead when available.,[],,,"[""read_insights""]",insights_metric,False,False,,,,False,Use fan_count field instead when available.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",graph_field,published_posts,published_posts,Published Posts,Publicaciones publicadas,content,pending_permission,,pending_permission,,,Requires permissions: pages_read_user_content.,[],,,"[""pages_read_user_content""]",graph_field,True,False,posts_analyzed_count,,summary_content_metric,False,Requires additional Page content permissions.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",derived,posts_analyzed,posts_analyzed,Posts Analyzed,Publicaciones analizadas,content,pending_permission,,pending_permission,,,Requires permissions: pages_read_user_content.,[],,,"[""pages_read_user_content""]",derived,True,False,posts_analyzed_count,,summary_content_metric,False,Blocked until post listing is available.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",derived,top_posts,top_post_by_engagement,Top Posts,Mejores publicaciones,content,pending_permission,,pending_permission,,,Requires permissions: pages_read_user_content.,[],,,"[""pages_read_user_content""]",derived,False,False,,,summary_content_metric,False,Requires access to post-level content and engagement.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",insights_metric,post_insights,post_insights,Post Insights,Insights de publicaciones,content,pending_permission,,pending_permission,,,Requires permissions: pages_read_user_content.,[],,,"[""pages_read_user_content""]",insights_metric,False,False,,,,False,Requires post access and post insights support.
facebook_pages,1,meta,facebook_page,connected,True,True,1,"[""fb-1""]","[""Botanero FB""]",graph_field,post_comments,comments,Comments,Comentarios,content,pending_permission,,pending_permission,,,Requires permissions: pages_read_user_content.,[],,,"[""pages_read_user_content""]",graph_field,True,False,comments_total,,summary_content_metric,False,Pending Page content permissions.
